OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
121,207,AUSTIN TOWN HALL,POINT (-87.76614604294403 41.88874587290817),BASKETBALL COURT,OUTDOOR,-87.76614604,41.88874587,1548
122,207,AUSTIN TOWN HALL,POINT (-87.76585040698971 41.888439828588844),FITNESS CENTER,INDOOR,-87.76585041,41.88843983,1549
123,207,AUSTIN TOWN HALL,POINT (-87.76559532606687 41.88828633892541),GYMNASIUM,INDOOR,-87.76559533,41.88828634,1550
124,207,AUSTIN TOWN HALL,POINT (-87.76609858991776 41.88827527301937),POOL (INDOOR),INDOOR,-87.76609859,41.88827527,1551
125,207,AUSTIN TOWN HALL,POINT (-87.76550918818896 41.88844405716301),PLAYGROUND,OUTDOOR,-87.76550919,41.88844406,1552
126,29,AVALON,POINT (-87.59330013792655 41.74348587989311),BASKETBALL COURT,OUTDOOR,-87.59330014,41.74348588,1553
127,29,AVALON,POINT (-87.59624793283162 41.7415915332741),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59624793,41.74159153,1554
128,29,AVALON,POINT (-87.59405625540414 41.74145751554154),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59405626,41.74145752,1555
129,29,AVALON,POINT (-87.59416984171472 41.74369533602649),FITNESS CENTER,INDOOR,-87.59416984,41.74369534,1556
130,29,AVALON,POINT (-87.5942131099826 41.743565247544865),GYMNASIUM,INDOOR,-87.59421311,41.74356525,1557
131,29,AVALON,POINT (-87.59530719761388 41.74166592290302),BASEBALL JR/SOFTBALL,OUTDOOR,-87.5953072,41.74166592,1558
132,29,AVALON,POINT (-87.59444590975284 41.74192602001105),BASEBALL JR/SOFTBALL,OUTDOOR,-87.59444591,41.74192602,1559
133,29,AVALON,POINT (-87.59360154571017 41.74194715036242),BASEBALL JR/SOFTBALL,OUTDOOR,-87.59360155,41.74194715,1560
134,29,AVALON,POINT (-87.59358384341587 41.741017321807426),BASEBALL JR/SOFTBALL,OUTDOOR,-87.59358384,41.74101732,1561
135,29,AVALON,POINT (-87.59442795287389 41.74101744024803),BASEBALL JR/SOFTBALL,OUTDOOR,-87.59442795,41.74101744,1562
136,29,AVALON,POINT (-87.59541318858311 41.7410822117001),BASEBALL JR/SOFTBALL,OUTDOOR,-87.59541319,41.74108221,1563
137,29,AVALON,POINT (-87.59418045041879 41.74280621339425),POOL (OUTDOOR),OUTDOOR,-87.59418045,41.74280621,1564
138,29,AVALON,POINT (-87.59485912973466 41.7430071459661),PLAYGROUND,OUTDOOR,-87.59485913,41.74300715,1565
139,29,AVALON,POINT (-87.59424803033644 41.74309884401369),SPRAY FEATURE,OUTDOOR,-87.59424803,41.74309884,1566
140,29,AVALON,POINT (-87.59651452431233 41.74091927424798),BASEBALL SR,OUTDOOR,-87.59651452,41.74091928,1567
141,29,AVALON,POINT (-87.59724859356434 41.74185900700186),TENNIS COURT,OUTDOOR,-87.59724859,41.74185901,1568
142,29,AVALON,POINT (-87.59724477638937 41.74157209870102),TENNIS COURT,OUTDOOR,-87.59724478,41.7415721,1569
143,29,AVALON,POINT (-87.59742216017082 41.741567922821574),TENNIS COURT,OUTDOOR,-87.59742216,41.74156792,1570
144,29,AVALON,POINT (-87.59741185661707 41.74122784625695),TENNIS COURT,OUTDOOR,-87.59741186,41.74122785,1571
145,29,AVALON,POINT (-87.59722028822647 41.74123193214864),TENNIS COURT,OUTDOOR,-87.59722029,41.74123193,1572
146,29,AVALON,POINT (-87.59722398920987 41.74090788346351),TENNIS COURT,OUTDOOR,-87.59722399,41.74090788,1573
147,29,AVALON,POINT (-87.59348815666645 41.743173643641775),TRACK,OUTDOOR,-87.59348816,41.74317364,1574
148,81,AVONDALE,POINT (-87.71549142166347 41.941396684517656),BASKETBALL COURT,OUTDOOR,-87.71549142,41.94139669,1575
149,81,AVONDALE,POINT (-87.7150610122015 41.94128893955502),GYMNASTIC CENTER,INDOOR,-87.71506101,41.94128894,1576
150,81,AVONDALE,POINT (-87.71523732853174 41.94128907767189),GYMNASIUM,INDOOR,-87.71523733,41.94128908,1577
151,81,AVONDALE,POINT (-87.71540700695896 41.941713430889685),POOL (OUTDOOR),OUTDOOR,-87.71540701,41.94171343,1578
152,81,AVONDALE,POINT (-87.71545552296591 41.94152584661252),PLAYGROUND,OUTDOOR,-87.71545552,41.94152585,1579
153,81,AVONDALE,POINT (-87.71502429342664 41.94140541771714),SPRAY FEATURE,OUTDOOR,-87.71502429,41.94140542,1580
154,1063,BACK OF THE YARDS,POINT (-87.6579010511843 41.80425040802655),BASKETBALL COURT,OUTDOOR,-87.65790105,41.80425041,1581
155,1063,BACK OF THE YARDS,POINT (-87.65783627484937 41.80456521090164),HORSESHOE COURT,OUTDOOR,-87.65783627,41.80456521,1582
156,1063,BACK OF THE YARDS,POINT (-87.65836042500631 41.80440731876223),PLAYGROUND,OUTDOOR,-87.65836042,41.80440732,1583
157,1063,BACK OF THE YARDS,POINT (-87.65797630159014 41.8044875765971),SPRAY FEATURE,OUTDOOR,-87.6579763,41.80448758,1584
158,295,BARAGA (FREDERICK),POINT (-87.68083621798598 41.84713681450812),BASKETBALL COURT,OUTDOOR,-87.68083622,41.84713682,1585
159,295,BARAGA (FREDERICK),POINT (-87.68115405865106 41.84714641404515),PLAYGROUND PARK,OUTDOOR,-87.68115406,41.84714641,1586
160,1205,BARNARD (ERASTUS),POINT (-87.66985319296113 41.703453114891595),PLAYGROUND,OUTDOOR,-87.66985319,41.70345312,1587
161,1022,BARRETT (JOHN),POINT (-87.676649991411 41.85252841310343),BASKETBALL COURT,OUTDOOR,-87.67664999,41.85252841,1588
162,1022,BARRETT (JOHN),POINT (-87.67650734388515 41.85234408085846),PLAYGROUND,OUTDOOR,-87.67650734,41.85234408,1589
163,542,BARTELME (MARY),POINT (-87.6498967254965 41.879862500237586),PLAYGROUND,OUTDOOR,-87.64989673,41.8798625,1590
164,542,BARTELME (MARY),POINT (-87.6505377247665 41.87984830725012),DOG FRIENDLY AREA,OUTDOOR,-87.65053772,41.87984831,1591
165,365,BAULER (MATHIAS),POINT (-87.64155497141718 41.916241630779666),PLAYGROUND,OUTDOOR,-87.64155497,41.91624163,1592
166,328,BEEHIVE,POINT (-87.59168559599495 41.78255560469834),PLAYGROUND PARK,OUTDOOR,-87.5916856,41.78255561,1593
168,1003,BEILFUSS (ALBERT W.),POINT (-87.72354098888209 41.912424907691566),PLAYGROUND,OUTDOOR,-87.72354099,41.91242491,1595
169,121,"BELL (GEORGE,JR.)",POINT (-87.7959991228808 41.93513015678581),BASKETBALL COURT,OUTDOOR,-87.79599912,41.93513016,1596
170,121,"BELL (GEORGE,JR.)",POINT (-87.79652644350446 41.93608495524062),BASEBALL JR/SOFTBALL,OUTDOOR,-87.79652644,41.93608496,1597
